question,answer
 """Bonjour""","""Bonjour!"""
"""Bonsoir""","""Bonsoir!"""
"""Salut""","""Salut!"""
"""Comment ça va?""","""Ça va bien, merci."""
"""Comment allez-vous?""","""Je vais bien, merci."""
"""Ça va?""","""Oui, ça va, merci."""
"""Ça va bien?""","""Oui, très bien, merci."""
"""Comment tu vas?""","""Je vais bien, et toi?"""
"""Comment ça va aujourd'hui?""","""Ça va bien aujourd'hui, merci."""
"""Bonjour, comment ça va?""","""Bonjour, ça va bien, et toi?"""
"""Salut, ça va?""","""Salut, ça va bien, merci."""
"""Bonsoir, comment allez-vous?""","""Bonsoir, je vais bien, merci."""
"""Salut, comment tu vas?""","""Salut, je vais bien, et toi?"""
"""Bonjour!""","""Bonjour!"""
"""Salut!""","""Salut!"""
"""Bonsoir!""","""Bonsoir!"""
"""Bonne journée!""","""Merci, à toi aussi!"""
"""Bonne soirée!""","""Merci, à toi aussi!"""
"""Bonne nuit!""","""Merci, bonne nuit!"""
"""Vous etes qui?""","""Je suis un assistant virtuel, comment puis-je vous aider?"""
"""Je suis un assistant virtuel, comment puis-je vous aider?""","""Je suis ici pour vous aider, que puis-je faire pour vous?"""
"""Je suis un chatbot, comment puis-je vous aider aujourd'hui?""","""Je suis là pour répondre à vos questions."""
"""Je suis ici pour vous aider, n'hésitez pas à poser des questions.""","""Merci, comment puis-je vous assister?"""
"""Je suis un assistant virtuel, comment puis-je être utile?""","""Je suis là pour vous aider, posez-moi vos questions."""
"""Je suis un chatbot, n'hésitez pas à me poser des questions.""","""Je suis ici pour vous aider, que puis-je faire pour vous?"""
Question (Français),Réponse (Français)
Comment puis-je postuler pour une bourse ?,En postulant par voie électronique via le portail national des demandes de bourses (minhaty.ma).
Quels documents sont nécessaires pour l'inscription ?,- Bordereau de pré-inscription suite à une procédure obligatoire via le lien https://www.uca.ma/ \n\n- Diplôme original de licence. \n\n- (2) Copies du diplôme de licence. \n\n- (2) Copies de l'acte de naissance nouvellement délivré. \n\n- (2) Copies de la carte d'identité nationale. \n\n- (2) Photographies avec le nom de l'étudiant écrit dessus (6). \n\n- Engagement certifié à télécharger sur le site officiel de l'établissement. \n\n- Une enveloppe autocollante grand format (A4) et un dossier grand format.
Comment puis-je accéder à mes documents académiques ?,"Les étudiants universitaires peuvent accéder à leurs documents académiques en suivant les procédures administratives suivantes : Soumettre un formulaire de demande au Service des affaires étudiantes s'il s'agit de documents académiques liés au parcours universitaire (certificats de réussite pour les différents niveaux d'études, relevés de notes, certificats de poursuite d'études, tableau des crédits standard, certificats d'interruption d'études). Ou auprès du Service des bourses et de la couverture médicale (comme le formulaire de demande de bourse ou la carte de bourse, ou les documents de couverture médicale, en plus de l'analyse pour le don de sang)."
Quelle est la marche à suivre pour l'inscription aux cours ?,L'inscription aux cours se fait par voie numérique et administrative après consultation des cours autorisés pour chaque étudiant(e) via la plateforme numérique dédiée. L'étudiant(e) clique ensuite sur les cours spécifiques auxquels il/elle souhaite s'inscrire.
Comment obtenir une carte d'étudiant ?,"En soumettant une demande soit sur la plateforme numérique officielle de l'établissement, soit au guichet du Service des affaires étudiantes, accompagnée du bordereau d'inscription original délivré par l'administration lors de l'inscription."
Quelles sont les dates limites d'inscription pour le semestre ?,"Le processus d'inscription finale aux semestres universitaires est soumis à des délais, au plus tard avant le début des examens du semestre concerné par l'inscription."
Comment faire une demande de logement universitaire ?,"Pour bénéficier du logement universitaire, il faut s'inscrire sur la plateforme électronique : logement.onousc.ma"
Quels services sont disponibles dans le cadre de la mobilité étudiante internationale ?,"Consciente de l'importance de la mobilité étudiante et de son rôle dans le renforcement de l'ouverture de l'université marocaine sur le plan international, la Direction de la coopération et des partenariats veille à placer les programmes de mobilité étudiante au cœur de ses préoccupations principales et leur accorde une attention particulière en matière de gestion rigoureuse et transparente, de développement et d'ouverture vers de nouveaux horizons, qu'il s'agisse de la mobilité entrante, destinée aux étudiants étrangers désireux d'étudier au Maroc, ou de la mobilité sortante, relative aux étudiants marocains partant étudier à l'étranger."
Comment faire une demande de relevé de notes ?,"Il existe deux manières de demander un relevé de notes :  Première méthode : L'étudiant soumet une demande écrite à la direction de l'établissement, en précisant le type de relevé de notes et l'année concernée. Deuxième méthode : L'étudiant(e) peut en faire la demande sur le site web de l'établissement ou via l'application mobile dédiée."
Quelles sont les heures d'ouverture du service des étudiants ?,"Le Service des affaires étudiantes fonctionne selon les horaires de travail officiels du Royaume du Maroc, du lundi au vendredi, de 8h30 à 16h30. En mois de Ramadan, de 9h00 à 15h00. Il convient de noter que le service est fermé le week-end. L'établissement propose toutefois ses services toute l'année."
Comment obtenir des informations sur les stages ?,"Les étudiants peuvent s'informer sur les stages dont ils peuvent bénéficier auprès du service concerné par la coopération, les partenariats et les stages, et rechercher dans ce cadre des collaborations avec des établissements actifs dans le ressort territorial de l'établissement."
